QuestionID,Section,Topic,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Difficulty,FreeTier
Q0011,Core,Clean Air Act & Regulations,Which EPA Section 608 certification type is required to service SMALL APPLIANCES like household refrigerators and window air conditioners?,Type I,Type II,Type III,Universal only,A,"Type I covers small appliances, Type II covers high-pressure equipment, and Type III covers low-pressure equipment (big chillers). Universal certification covers all three, but it is not the only way to work on small appliances — Type I alone is enough.",Easy,TRUE
Q0012,Core,Clean Air Act & Regulations,"If EPA refrigerant regulations and your state or local regulations conflict, which do you follow?",Always the EPA rule,Always the state rule,Whichever rule is stricter,Whichever rule was written most recently,C,"You must comply with the stricter requirement. Federal EPA rules are the floor, not the ceiling — states and localities are allowed to pass tougher rules, and if they do, those tougher rules apply to you.",Medium,FALSE
Q0013,Core,Montreal Protocol,What is the Montreal Protocol?,A US law that created technician certification,An international treaty to phase out the production of ozone-depleting substances,A Canadian refrigerant recycling standard,An ASHRAE safety standard for equipment rooms,B,"The Montreal Protocol is the international agreement (signed in 1987) committing countries to phase out ozone-depleting substances like CFCs and HCFCs. In the United States, it is implemented through the Clean Air Act — which is the US law, not the treaty itself.",Easy,TRUE
Q0014,Core,Montreal Protocol,"Under the US phase-out schedule, production and import of CFC refrigerants such as R-12 ended in what year?",1992,1996,2010,2020,B,"CFC production and import for US consumption ended January 1, 1996. Any R-12 used after that comes from stockpiles or reclaimed refrigerant. 2010 and 2020 relate to later HCFC phase-out milestones (like R-22), which is why they're tempting.",Medium,FALSE
Q0015,Core,Refrigerants & Blends,R-22 belongs to which class of refrigerants?,CFC,HCFC,HFC,Natural refrigerant,B,"R-22 is an HCFC — it contains hydrogen, chlorine, fluorine, and carbon. Because it still contains chlorine it has a small but real ozone depletion potential, which is why it was phased out. R-12 is the classic CFC; R-134a and R-410A are HFCs.",Easy,TRUE
Q0016,Core,Refrigerants & Blends,Refrigerant blends in the 400 series (such as R-407C) are classified as what?,Azeotropic blends that act like a single refrigerant,Zeotropic blends that have a temperature glide,Pure single-compound refrigerants,Natural refrigerants,B,"400-series blends are zeotropic: their components boil and condense at slightly different temperatures, creating a 'temperature glide.' 500-series blends (like R-502) are azeotropic and behave like a single compound. The series number is the giveaway on the exam.",Medium,FALSE
Q0017,Core,Refrigerants & Blends,Why must zeotropic blends like R-410A be charged into a system as a LIQUID?,Liquid charging is faster and that is the only reason,Charging vapor could fractionate the blend and change its composition,Liquid refrigerant is easier to weigh,Vapor charging would overheat the compressor,B,"In a blend, the components evaporate at different rates. If you draw vapor off the cylinder, you pull out more of the lighter component and leave the rest behind — that's fractionation, and it changes the blend's makeup and performance. Charging liquid (throttled carefully into the low side) keeps the mixture correct.",Medium,FALSE
Q0018,Core,Refrigerants & Blends,What is 'fractionation' in a refrigerant blend?,The blend breaking down into acid when overheated,"Components of the blend leaking or evaporating at different rates, changing the blend's composition",The refrigerant freezing into layers inside the cylinder,Mixing two different refrigerants in one system,B,"Fractionation means the ingredients of a blend separate because they evaporate at different rates — during a vapor leak or vapor charging, the lighter component leaves faster. That's why a system with a zeotropic blend that has leaked significantly is often recovered and recharged with virgin refrigerant instead of just topped off.",Medium,TRUE
Q0019,Core,Refrigerants & Blends,A 500-series blend such as R-502 is azeotropic. What does that mean in practice?,It behaves like a single-component refrigerant with one boiling point at a given pressure,It must never be recovered,It always has a large temperature glide,It contains no fluorine,A,"Azeotropic blends act like one pure refrigerant: at a given pressure they boil and condense at a single temperature, with no glide and no meaningful fractionation. That's the opposite of zeotropic 400-series blends, which is what makes this a favorite exam contrast.",Hard,FALSE
Q0020,Core,Refrigerants & Blends,Which lubricant is used with HFC refrigerants like R-410A and R-134a?,Mineral oil,Polyolester (POE) oil,Vegetable-based oil,Silicone oil,B,"HFC refrigerants don't mix well with the old mineral oils, so systems using them run polyolester (POE) synthetic oil. This matters on retrofits: converting an R-12 system to R-134a means changing the mineral oil to ester oil. POE oil also absorbs moisture aggressively, so keep it sealed.",Medium,FALSE
Q0021,Core,"Recover, Recycle, Reclaim",What does it mean to RECOVER refrigerant?,To clean refrigerant using filter-driers for reuse,"To remove refrigerant in any condition from a system and store it in an external container, without testing or processing it",To re-process refrigerant to brand-new purity verified by lab analysis,To destroy contaminated refrigerant,B,"Recovery is simply getting the refrigerant out of the system and into an approved container — no cleaning, no testing. Cleaning it with oil separators and filter-driers is RECYCLING; processing it back to new-product purity with lab verification is RECLAIMING. The three R's are defined by how much processing happens.",Easy,TRUE
Q0022,Core,"Recover, Recycle, Reclaim",What does it mean to RECYCLE refrigerant?,To store it in any available container,To vent it slowly through a filter,To clean it for reuse by oil separation and single or multiple passes through filter-driers,To send it to a chemical plant for destruction,C,"Recycling cleans the refrigerant on site or at a shop using oil separation and filter-driers, typically so it can go back into equipment belonging to the same owner. It does NOT certify purity — that's reclamation, which requires meeting the AHRI 700 standard verified by chemical analysis.",Easy,TRUE
Q0023,Core,"Recover, Recycle, Reclaim","Before recovered refrigerant can be SOLD to a different owner, what must happen to it?",It must be recycled with a filter-drier,"It must be reclaimed to AHRI 700 purity, verified by chemical analysis",It must sit in storage for 30 days,Nothing — recovered refrigerant can be resold as-is,B,Refrigerant that changes ownership must be reclaimed — processed back to the AHRI 700 purity standard and verified by lab analysis. Recycled refrigerant can generally only go back into equipment of the same owner. This protects buyers from contaminated refrigerant destroying their equipment.,Medium,TRUE
Q0024,Core,"Recover, Recycle, Reclaim",Reclaimed refrigerant must meet which industry purity standard?,ASHRAE 15,AHRI 700,DOT 39,ISO 9000,B,"AHRI 700 is the purity standard for reclaimed refrigerant. ASHRAE 15 is the safety standard for equipment rooms, and DOT 39 relates to disposable cylinders — both are real standards used as decoys because you'll see them elsewhere on the exam.",Medium,FALSE
Q0025,Core,Cylinders & Shipping,What is the standard color scheme for a refrigerant RECOVERY cylinder?,Solid white,Green body with a red top,Gray body with a yellow top,Solid orange,C,"Recovery cylinders are gray with yellow tops (shoulders). This tells everyone downstream the cylinder holds used, recovered refrigerant rather than virgin product. Cylinders must also be DOT-approved and clearly labeled with the refrigerant type.",Easy,TRUE
Q0026,Core,Cylinders & Shipping,A recovery cylinder should never be filled beyond what percentage of its capacity?,50%,60%,80%,95%,C,80% is the maximum safe fill level. The remaining space allows the liquid to expand as temperature rises. A cylinder filled too full can become 'hydrostatically' full of liquid with no vapor space — then even mild warming builds explosive pressure. Weigh cylinders during recovery; don't guess.,Easy,TRUE
Q0027,Core,Cylinders & Shipping,What should you do with a disposable (one-trip) refrigerant cylinder once it is empty?,Refill it with recovered refrigerant since it held the same type,"Recover any remaining refrigerant, mark it empty, and recycle the metal — never refill it",Vent the remaining vapor and throw it in the trash,Use it as a compressed air tank in the shop,B,"Disposable cylinders are built for one trip only — refilling one is illegal and dangerous because the cylinder and its valve aren't designed for reuse. Before discarding, recover the remaining vapor (a 'empty' disposable can still hold a surprising amount), then render it useless and recycle the steel.",Medium,FALSE
Q0028,Core,Safety,A large refrigerant leak happens in an enclosed equipment room. Why is this immediately dangerous to anyone inside?,Refrigerant vapor is flammable in any concentration,Refrigerant vapor is heavier than air and displaces the oxygen you need to breathe,Refrigerant vapor causes instant frostbite through clothing,The leak will always trigger an explosion,B,"Most refrigerant vapors are heavier than air, so they pool in low spots and enclosed spaces and push the breathable air out — people have died from oxygen deprivation this way. That's why you evacuate, ventilate, and use a self-contained breathing apparatus (SCBA) for major leaks. Most common refrigerants aren't flammable; suffocation is the killer.",Easy,TRUE
Q0029,Core,Safety,"Which gas should be used to pressurize a system for leak testing, and with what safeguards?","Oxygen, with a regulator","Compressed shop air, straight from the compressor","Dry nitrogen, with a pressure regulator and a pressure relief valve in the line","Acetylene, at low pressure",C,"Dry nitrogen is the only safe choice, and it must go through a pressure regulator with a relief valve so you can't over-pressurize the system. Oxygen or compressed air can explode when they contact refrigerant oil under pressure — that combination has killed technicians. This is one of the most-repeated safety questions on the exam.",Easy,TRUE
Q0030,Core,Safety,What happens when R-22 vapor is drawn across an open flame or a glowing hot surface?,Nothing — it is completely inert,It decomposes into toxic gases such as hydrochloric and hydrofluoric acid vapors,It burns cleanly like propane,It instantly freezes the flame source,B,"Heat breaks refrigerant molecules apart into nasty products — hydrochloric acid vapor, hydrofluoric acid vapor, and potentially phosgene gas. That sharp, biting smell near a leak and a flame is your warning. This is why you never braze on a system that still contains refrigerant and why halide torch detectors require ventilation.",Medium,FALSE
Q0031,Core,Dehydration & Evacuation,"Why must moisture be removed from a refrigeration system, and what removes it?",Moisture improves oil flow; add it deliberately,Moisture reacts with refrigerant and oil to form acids and sludge; a deep vacuum (evacuation) boils it out,Moisture only matters in low-pressure systems; drain it with a valve,Moisture freezes the compressor windings; remove it with compressed air,B,"Water plus refrigerant plus heat makes acid, which chews up motor windings and metal and creates sludge. Pulling a deep vacuum lowers the boiling point of water so it boils off and gets pumped out. Blowing compressed air through a system would ADD moisture — air always carries water vapor.",Medium,FALSE
Q0032,Core,Shipping & Transport,"When shipping a filled refrigerant recovery cylinder, which requirement applies?",Any sturdy box with padding is acceptable,The cylinder must be DOT-approved and labeled/marked in accordance with DOT hazardous materials regulations,Cylinders can only be shipped completely full,Refrigerant cylinders may never be transported on public roads,B,"Transporting refrigerant falls under Department of Transportation (DOT) hazardous materials rules: approved cylinders, proper labels identifying the contents, and secure upright transport. Cylinders should be at no more than 80% capacity — never 'completely full' — and yes, they move on roads every day, legally, when packaged right.",Medium,FALSE
Q0101,Type I,Definitions,"Under EPA rules, a 'small appliance' is a product that is fully manufactured, charged, and hermetically sealed at the factory with how much refrigerant or less?",5 pounds,15 pounds,50 pounds,200 pounds,A,"A small appliance contains 5 pounds of refrigerant or less AND is charged and hermetically sealed at the factory. Both parts matter: a field-charged system isn't a small appliance no matter how little refrigerant it holds. 50 and 200 pounds are thresholds you'll see in Type II rules, which is why they're used as decoys.",Easy,TRUE
Q0102,Type I,Definitions,Which of the following is considered a small appliance?,A 4-ton residential split-system air conditioner,A window air conditioning unit,A supermarket rack refrigeration system,A centrifugal chiller,B,"Window units, household refrigerators and freezers, dehumidifiers, PTACs, and vending machines are the classic small appliances — factory-sealed with 5 pounds or less. A split system is charged in the field and typically holds more than 5 pounds, so it falls under Type II even when it serves a house.",Easy,TRUE
Q0103,Type I,Definitions,Which of the following is NOT a small appliance?,A household dehumidifier,A packaged terminal air conditioner (PTAC),A residential central split-system condensing unit,A beverage vending machine,C,"A central split system is assembled and charged in the field, so it fails the 'hermetically sealed at the factory' test — and it usually holds more than 5 pounds anyway. Dehumidifiers, PTACs, and vending machines are all factory-sealed products within the 5-pound limit.",Medium,FALSE
Q0104,Type I,Recovery Requirements,"Recovery equipment manufactured after November 15, 1993 must recover what percentage of the refrigerant from a small appliance when its compressor IS operating?",70%,80%,90%,99%,C,"90% with an operating compressor. If the compressor is dead, the requirement drops to 80% — because you can't use the system's own pressure to help push refrigerant out. Either way, achieving a 4 inches Hg vacuum also satisfies the rule.",Medium,TRUE
Q0105,Type I,Recovery Requirements,"When a small appliance's compressor is NOT operating, recovery equipment (made after Nov 15, 1993) must recover what percentage of the charge?",60%,80%,90%,100%,B,"80% when the compressor won't run, versus 90% when it will. Older recovery equipment (made before November 15, 1993) only has to hit 80% in both cases. Nobody can recover 100% — some refrigerant always stays dissolved in the oil.",Medium,FALSE
Q0106,Type I,Recovery Requirements,"Instead of meeting the percentage requirement, recovery from a small appliance is also considered complete when the system is evacuated to what vacuum level?",4 inches Hg vacuum,10 inches Hg vacuum,15 inches Hg vacuum,25 mm Hg absolute,A,"4 inches of mercury (Hg) vacuum is the alternative standard for small appliances. The deeper levels — 10 and 15 inches — belong to Type II high-pressure equipment, and 25 mm Hg absolute belongs to Type III low-pressure equipment. Matching the vacuum level to the equipment type is a guaranteed exam topic.",Medium,TRUE
Q0107,Type I,Recovery Requirements,Recovery equipment used on small appliances must be certified by whom?,The local building department,An EPA-approved testing organization (tested to the AHRI 740 standard),The refrigerant manufacturer,OSHA,B,"Recovery machines must be tested and certified by an EPA-approved laboratory to the AHRI 740 standard. OSHA governs worker safety, not equipment certification, and building departments deal with codes and permits — common-sense-sounding decoys that are wrong here.",Medium,FALSE
Q0108,Type I,Recovery Requirements,Businesses that service small appliances must do what regarding their recovery equipment?,Nothing — small appliance work is exempt from equipment rules,Certify to the EPA (by signed statement to their EPA Regional Office) that they have acquired certified recovery equipment,Have their equipment inspected by the EPA annually,Lease equipment only from EPA-owned depots,B,Shops must register with the EPA by sending a signed statement listing the certified recovery equipment they've acquired. There's no annual EPA inspection program and no exemption — the paperwork requirement is the piece people forget.,Hard,FALSE
Q0109,Type I,Recovery Techniques,What is 'system-dependent' (passive) recovery?,Recovery that uses the appliance's own compressor or internal pressure to move refrigerant into a non-pressurized container,Recovery using a machine with its own built-in compressor,Letting the refrigerant vent slowly through a filter,Any recovery that takes more than one hour,A,"System-dependent (passive) recovery relies on the appliance itself — its compressor or its internal pressure — to push refrigerant into a recovery container, which may be non-pressurized. Self-contained (active) recovery uses a machine with its own pump or compressor. Venting through a filter is illegal, full stop.",Easy,TRUE
Q0110,Type I,Recovery Techniques,What makes recovery equipment 'self-contained' (active)?,It fits in one carrying case,It has its own compressor or pump to draw out the refrigerant,It needs no electricity,It only works on operating compressors,B,Self-contained means the recovery unit brings its own muscle — a built-in compressor or pump — so it doesn't depend on the appliance's compressor at all. That's exactly why it works on dead systems where passive recovery struggles.,Easy,FALSE
Q0111,Type I,Recovery Techniques,"When using system-dependent recovery on a small appliance whose compressor does NOT run, what should you do?",Recover from the low side only,Access BOTH the high side and the low side of the system,Skip recovery since the compressor is dead,Pressurize the system with nitrogen first,B,"With a dead compressor there's nothing circulating the refrigerant, so you need access valves on both the high and low sides to capture the full charge. Recovery is never optional — a dead compressor doesn't create a venting exemption. Nitrogen would just contaminate the recovered refrigerant.",Medium,TRUE
Q0112,Type I,Recovery Techniques,Which trick helps release refrigerant trapped in the oil of a small appliance's non-operating compressor during recovery?,Gently heating and tapping the compressor,Packing the compressor in ice,Running water over the condenser,Turning the appliance upside down,A,Refrigerant dissolves in compressor oil. Warming the compressor (and tapping it lightly with a rubber mallet) drives that dissolved refrigerant out of the oil so it can be recovered. Cooling it does the opposite — cold oil holds MORE refrigerant.,Medium,FALSE
Q0113,Type I,Recovery Techniques,"Why shouldn't a solderless, clamp-on piercing access valve be left permanently installed on a small appliance?",It voids the electrical warranty,These valves tend to leak over time,It makes the appliance run louder,EPA rules require removing all valves within one hour,B,"Clamp-on piercing valves are a quick way in, but their gasket seal degrades and they leak with time — so they should be removed after service (or replaced with a brazed-in valve) and always leak-tested while installed. There's no one-hour EPA rule; the issue is purely that they leak.",Medium,FALSE
Q0114,Type I,Recovery Techniques,Why should you never recover different refrigerants into the same cylinder?,The cylinder colors won't match,Mixed refrigerants may be impossible to reclaim and often must be destroyed at your cost,Mixing always causes an immediate explosion,It is fine as long as both are HFCs,B,"A mixed-refrigerant cylinder usually can't be separated back into usable products — reclaimers will reject it, and you pay for destruction. It's rarely an instant safety catastrophe; it's an expensive, avoidable waste. Identify the refrigerant before recovery and dedicate cylinders accordingly.",Medium,TRUE
Q0115,Type I,Recovery Techniques,"Before recovering from a small appliance, how do you identify which refrigerant it contains?",By the color of the cabinet,"Check the nameplate/label, and verify with a pressure-temperature comparison if in doubt",All small appliances use R-22,Smell the access valve,B,"The nameplate or model label states the refrigerant and charge. If the label is gone or a retrofit is suspected, compare the system's standing pressure to the saturation pressure for that refrigerant at the current temperature. Household refrigerators alone have used R-12, R-134a, and R-600a over the years — never assume.",Medium,FALSE
Q0116,Type I,Recovery Techniques,Recovery from a small appliance is going very slowly on a cold day. What is the most likely reason?,"Low ambient temperature keeps system pressure low, slowing refrigerant flow to the recovery device",Cold weather makes refrigerant heavier,The refrigerant has frozen solid,Recovery machines only work above 80°F,A,"Refrigerant pressure follows temperature. On a cold day the system's pressure is low, so there's less push driving refrigerant into your recovery setup. Warming the appliance (safely) speeds things up. Common refrigerants don't freeze at any temperature you'll ever work in.",Hard,FALSE
Q0117,Type I,Equipment,"Recovery equipment manufactured after November 15, 1993 must be equipped with what feature to minimize refrigerant release when hoses are disconnected?",Clear plastic hoses,Low-loss fittings,An automatic venting port,Extra-long hoses,B,"Low-loss fittings close themselves off when disconnected, trapping the refrigerant in the hose instead of releasing it. The tiny puff that still escapes is a legal 'de minimis' release. An 'automatic venting port' is the opposite of the goal — venting is what we're preventing.",Medium,FALSE
Q0118,Type I,Disposal,Who is responsible for making sure refrigerant is recovered from a refrigerator before it is scrapped and recycled?,Nobody — small appliances are exempt,The original manufacturer,"The final person in the disposal chain (such as the scrap yard), unless they have a signed statement that the refrigerant was already recovered",The homeowner's insurance company,C,"The last business in the disposal chain must ensure recovery happened — either by doing it or by obtaining a signed statement (with name, address, and date) from whoever delivered the appliance saying they recovered the refrigerant. Small appliances are exempt from leak-repair rules, but never from recovery-before-disposal.",Medium,TRUE
Q0119,Type I,Disposal,Refrigerant recovered from a customer's small appliance may be returned WITHOUT reclamation to which equipment?,Any equipment anywhere,Equipment belonging to the same owner,Only the exact appliance it came from,It must always be reclaimed before any reuse,B,Recovered (or recycled) refrigerant can go back into the same owner's equipment without lab-certified reclamation — it doesn't have to be the identical appliance. The AHRI 700 reclamation requirement kicks in when the refrigerant changes ownership.,Hard,FALSE
Q0120,Type I,Refrigerants,Older household refrigerators used R-12. What refrigerants are common in newer household refrigerators?,R-134a or R-600a (isobutane),R-22 or R-11,R-410A or R-407C,Ammonia or CO2 only,A,"R-134a replaced R-12 in domestic refrigeration through the 1990s and 2000s, and many current models use R-600a (isobutane), a flammable hydrocarbon. R-410A is a residential air conditioning refrigerant, and R-11 belongs to big low-pressure chillers — different worlds.",Easy,TRUE
Q0121,Type I,Refrigerants,What special hazard does R-600a (isobutane) in a modern refrigerator present during service?,It is extremely toxic to touch,It is flammable — keep ignition sources away and use tools rated for flammable refrigerants,It operates at dangerously high pressure,It destroys ozone faster than CFCs,B,"Isobutane is a hydrocarbon — think lighter fluid. A leak near a spark or open flame can ignite, so service requires ventilation, spark-free tools, and no brazing until the charge is out and the system is purged. It's actually a low-pressure, ozone-safe refrigerant; flammability is the whole story.",Medium,FALSE
Q0122,Type I,Refrigerants,"When retrofitting an old R-12 refrigerator to R-134a, which change is required?",No changes — just top off the R-12 with R-134a,Replace the mineral oil with ester (POE) oil and replace the filter-drier,Install a bigger compressor,Paint the cylinder gray and yellow,B,"R-134a will not mix with the mineral oil that R-12 systems use, so the oil must be changed to polyolester and the filter-drier replaced with one compatible with R-134a. Topping off R-12 with R-134a creates an illegal, unreclaimable mixed refrigerant — never mix refrigerants in a system.",Hard,FALSE
Q0123,Type I,Safety,What personal protective equipment is the minimum when transferring refrigerant?,Safety glasses and gloves — liquid refrigerant can cause frostbite,A full hazmat suit at all times,Hearing protection only,None is needed for small appliances,A,Liquid refrigerant boils at skin temperature and flash-freezes tissue on contact — frostbite injuries to eyes and hands are the everyday risk. Safety glasses and gloves are the baseline for any transfer. A full hazmat suit isn't the standard for routine work; eyes and skin protection are.,Easy,TRUE
Q0124,Type I,Cylinders,Refrigerant recovered from a small appliance must be stored in what kind of container?,Any clean metal can with a lid,A DOT-approved recovery cylinder (or a non-pressurized container when using system-dependent recovery),A glass carboy,The original disposable cylinder the refrigerant came in,B,"Pressurized storage requires a DOT-approved recovery cylinder, filled to no more than 80%. The one exception: passive, system-dependent recovery may capture the charge in an approved non-pressurized container. Refilling a disposable cylinder is illegal and dangerous.",Easy,FALSE
Q0125,Type I,Recovery Requirements,You evacuate a small appliance to 4 inches Hg vacuum and stop. A few minutes later the pressure has risen noticeably. What does this most likely mean?,The vacuum gauge is always wrong,Refrigerant trapped in the compressor oil is boiling off (or the system has a leak) — resume recovery,The recovery is complete and the rise is normal air expansion,The appliance has recharged itself,B,"A pressure rebound after evacuation means more refrigerant is coming out of the oil — recover again until the system holds its vacuum. It could also indicate a leak pulling in air. Either way, walking away at the first sign of 4 inches Hg without confirming it holds is how techs fail the intent of the rule.",Hard,FALSE
Q0126,Type I,Regulations,Small appliances are exempt from the EPA's leak repair requirements. Does that mean venting from a leaky refrigerator is legal?,Yes — exempt means anything goes,No — the venting prohibition still applies to all appliances; only the mandatory leak-REPAIR thresholds don't apply,"Yes, but only for appliances older than 20 years",Only if the leak is smaller than one ounce per year,B,"The leak-repair rules (the 10%/20%/30% thresholds) apply to appliances with 50+ pounds of charge, so small appliances are outside them. But knowingly venting refrigerant is illegal on ANY appliance. Exempt from repair deadlines does not mean free to release.",Medium,TRUE
Q0127,Type I,Recovery Techniques,Why can't you use a plain vacuum pump by itself as recovery equipment?,Vacuum pumps are too slow,A vacuum pump discharges to the atmosphere — using one to remove refrigerant is venting,Vacuum pumps only work on large systems,Vacuum pump oil dissolves refrigerant permanently,B,"A vacuum pump's exhaust goes straight to the air. Pulling refrigerant out with one releases the charge — that's illegal venting, not recovery. Vacuum pumps come out AFTER recovery, to evacuate air and moisture from the empty system before recharge.",Medium,FALSE
Q0128,Type I,Certification,A technician holding ONLY Type I certification may work on which equipment?,Any air conditioning system up to 5 tons,Small appliances only,High-pressure systems under 200 pounds,Low-pressure chillers,B,"Type I covers small appliances, period — household refrigerators, freezers, window units, PTACs, dehumidifiers, vending machines. A 5-ton split system is high-pressure Type II territory regardless of who owns it. To work across all categories you need Universal certification.",Easy,TRUE
Q0129,Type I,Recovery Techniques,"During system-dependent recovery of a small appliance, the refrigerant may legally be captured in which of the following?",An approved non-pressurized container (such as a recovery bag),A soda bottle with a tight cap,The shop's air compressor tank,"An open bucket, if outdoors",A,"Passive recovery works at low pressure, so approved non-pressurized containers — including purpose-made recovery bags — are permitted for small appliances. Improvised containers are neither approved nor safe, and an open bucket is simply venting with extra steps.",Medium,FALSE
Q0130,Type I,Service Practices,"When brazing a new access fitting onto a small appliance's tubing (after recovery), why should you flow a low pressure of dry nitrogen through the tubing?",Nitrogen makes the solder joint shinier,"It prevents oxidation scale from forming inside the tubing, which would otherwise circulate and clog the system",It is required by the DOT,It cools the tubing so you can braze faster,B,Brazing heat plus oxygen creates black oxide scale inside the pipe; flowing nitrogen displaces the oxygen so the inside stays clean. Scale that breaks loose plugs the cap tube and filter-drier — a slow death for a refrigerator. This is a shop-practice question that shows up because it protects the equipment.,Medium,FALSE
Q0201,Type II,Definitions,A HIGH-PRESSURE appliance uses a refrigerant with a boiling point in what range at atmospheric pressure?,Above 10°C (50°F),Between -50°C and 10°C (-58°F and 50°F),Below -50°C (-58°F),Exactly 0°C (32°F),B,"High-pressure refrigerants boil between -50°C and 10°C at atmospheric pressure — that covers R-22, R-134a, R-410A, and R-407C. Boiling below -50°C makes it a VERY-high-pressure refrigerant (R-13, R-503), and boiling above 10°C makes it low-pressure (R-11, R-123), which is Type III territory.",Easy,TRUE
Q0202,Type II,Definitions,Which refrigerants are classified as VERY-high-pressure?,R-11 and R-123,R-22 and R-410A,R-13 and R-503,R-134a and R-407C,C,"R-13 and R-503 boil below -50°C at atmospheric pressure, putting them in the very-high-pressure class used in ultra-low-temperature work. R-22 and R-410A are ordinary high-pressure refrigerants, and R-11/R-123 are the low-pressure chiller refrigerants.",Medium,FALSE
